Country,Year,Percentage,Type
Romania,2023,10732,Female
Slovenia,2023,21386,Female
Slovakia,2023,10435,Female
Finland,2023,33774,Female
Sweden,2023,33045,Female
Iceland,2023,:,Female
Norway,2023,46419,Female
Switzerland,2023,61652,Female
United Kingdom,2023,:,Female
Montenegro,2023,:,Female
North Macedonia,2023,:,Female
Albania,2023,:,Female
Serbia,2023,:,Female
Türkiye,2023,5304,Female
Italy,2022,23916,Female
Cyprus,2022,22114,Female
Latvia,2022,14041,Female
Lithuania,2022,14208,Female
Luxembourg,2022,54143,Female
Hungary,2022,8793,Female
Malta,2022,28028,Female
Netherlands,2022,34563,Female
Austria,2022,32328,Female
Poland,2022,11512,Female
Portugal,2022,15210,Female
Romania,2022,9393,Female
Slovenia,2022,19991,Female
Slovakia,2022,10182,Female
Finland,2022,32596,Female
Sweden,2022,32713,Female
Iceland,2022,:,Female
Norway,2022,43675,Female
Switzerland,2022,56935,Female
United Kingdom,2022,:,Female
Montenegro,2022,6429,Female
North Macedonia,2022,:,Female
Albania,2022,:,Female
Serbia,2022,6179,Female
Türkiye,2022,5066,Female
Italy,2021,23580,Female
Cyprus,2021,20806,Female
Latvia,2021,12810,Female
Lithuania,2021,13100,Female
Luxembourg,2021,51106,Female
Hungary,2021,8964,Female
Malta,2021,26053,Female
Netherlands,2021,32980,Female
Austria,2021,31799,Female
Poland,2021,10740,Female
Portugal,2021,15735,Female
Romania,2021,9024,Female
Slovenia,2021,18384,Female
Slovakia,2021,9953,Female
Finland,2021,31389,Female
Sweden,2021,31237,Female
Iceland,2021,:,Female
Norway,2021,40443,Female
Switzerland,2021,56886,Female
United Kingdom,2021,:,Female
Montenegro,2021,5896,Female
North Macedonia,2021,:,Female
Albania,2021,4179,Female
Serbia,2021,5755,Female
Türkiye,2021,5097,Female
Italy,2020,23704,Female
Cyprus,2020,20829,Female
Latvia,2020,12193,Female
Lithuania,2020,12132,Female
Luxembourg,2020,47797,Female
Hungary,2020,8827,Female
Malta,2020,24880,Female
Netherlands,2020,31333,Female
Austria,2020,31326,Female
Poland,2020,10466,Female
Portugal,2020,15016,Female
Romania,2020,7883,Female
Slovenia,2020,17890,Female
Slovakia,2020,10317,Female
Finland,2020,32066,Female
Sweden,2020,29836,Female
Iceland,2020,:,Female
Norway,2020,45301,Female
Switzerland,2020,53791,Female
United Kingdom,2020,:,Female
Montenegro,2020,5801,Female
North Macedonia,2020,4311,Female
Albania,2020,4109,Female
Serbia,2020,5142,Female
Türkiye,2020,5822,Female
Italy,2019,22647,Female
