Country,Year,Population Percent,Educational Level
Lithuania,2023,41,Level 5-8
Luxembourg,2023,45.7,Level 5-8
Hungary,2023,25.8,Level 5-8
Malta,2023,30.8,Level 5-8
Netherlands,2023,38.4,Level 5-8
Austria,2023,33.6,Level 5-8
Poland,2023,33.2,Level 5-8
Portugal,2023,27.1,Level 5-8
Romania,2023,16.1,Level 5-8
Slovenia,2023,29.8,Level 5-8
Slovakia,2023,25.8,Level 5-8
Finland,2023,35.7,Level 5-8
Sweden,2023,41.9,Level 5-8
Iceland,2023,37.5,Level 5-8
Norway,2023,41.9,Level 5-8
Switzerland,2023,40.2,Level 5-8
United Kingdom,2023,:,Level 5-8
Bosnia and Herzegovina,2023,14.7,Level 5-8
Montenegro,2023,:,Level 5-8
North Macedonia,2023,:,Level 5-8
Serbia,2023,23.3,Level 5-8
Türkiye,2023,21.8,Level 5-8
